Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
GenieDB;null;Relational DBMS;null;null;null;null;null;null;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;GenieDB has been closed and is removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
Ingres;Bewährtes RDBMS;Relational DBMS;5,83;#55;null;www.actian.com/data-management/ingres-sql-rdbms;docs.actian.com/ingres;Actian Corporation;1974 Ursprünglich bereits in den 1970 Jahren;11.0, April 2017;kommerziell;nein;;C;AIX HP Open VMS HP-UX Linux Solaris Windows;ja;ja;nein aber Import/Export aus/von XML-files möglich;ja;ja;.NET Client API JDBC ODBC Proprietäres Protokoll (OpenAPI);null;ja;ja;horizontale Partitionierung Ingres Star zum gleichzeitigen Zugriff auf mehrere Datenbanken;Ingres Replicator;nein;Immediate Consistency;ja;ACID;ja MVCC;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #31 ;null;null;null;null;null;null;null;null;null;null
Graphite;Data logging and graphing tool for time series data The storage layer (fixed size database) is called Whisper;Time Series DBMS;3,32;#83;null;github.com/graphite-project/graphite-web;graphite.readthedocs.io;Chris Davis;2006;null;Open Source Apache 2.0;nein;;Python;Linux Unix;ja;Numeric data only;nein;nein;nein;HTTP API Sockets;JavaScript (Node.js) Python;nein;nein;keine;keine;nein;keine;nein;nein;ja locking;ja;null;null;nein;null;null;null;null; #4 ;null;null;null;null;null;null;null;null;null
mSQL Mini SQL;mSQL (Mini SQL) is a simple and lightweight RDBMS;Relational DBMS;1,45;#131;null;www.hughes.com.au/products/msql;null;Hughes Technologies;1994;4.2, April 2019;kommerziell free licenses can be provided;nein;;C;AIX HP-UX Linux OS X Solaris SPARC/x86 Windows;ja;ja;nein;ja;A subset of ANSI SQL is implemented no subqueries, aggregate functions, views, foreign keys, triggers;JDBC ODBC;C C++ Delphi Java Perl PHP Tcl;nein;nein;keine;keine;nein;keine;nein;nein;nein;ja;nein;null;nein;null;null;null; #64 ;null;null;null;null;null;null;null;null;null;null
MongoDB;Einer der meistverwendeten Document Stores;Document Store;413,18;#5;null;www.mongodb.com;docs.mongodb.com/manual;MongoDB, Inc;2009;4.2, August 2019;Open Source MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.;nein MongoDB available as DBaaS (MongoDB Atlas);MongoDB Atlas: Deploy a fully managed cloud database on-demand and ready for use in minutes. Available on AWS, Azure, and GCP.;C++;Linux OS X Solaris Windows;schemafrei Obwohl schemafrei haben Dokumente einer Collection dennoch häufig die selbe Struktur;ja string, integer, double, decimal, boolean, date, object_id, geospatial;null;ja;Read-only SQL queries via the MongoDB Connector for BI;Proprietäres Protokoll basierend auf JSON;Actionscript inoffizielle Driver C C# C++ Clojure inoffizielle Driver ColdFusion inoffizielle Driver D inoffizielle Driver Dart inoffizielle Driver Delphi inoffizielle Driver Erlang Go Groovy inoffizielle Driver Haskell Java JavaScript Lisp inoffizielle Driver Lua inoffizielle Driver MatLab inoffizielle Driver Perl PHP PowerShell inoffizielle Driver Prolog inoffizielle Driver Python R inoffizielle Driver Ruby Scala Smalltalk inoffizielle Driver;JavaScript;ja in MongoDB Atlas only;Sharding partitioned by hashed, ranged, or zoned sharding keys;Master-Slave Replikation;ja;Eventual Consistency Immediate Consistency bei jedem Schreibvorgang individuell einstellbar;nein Normalerweise nicht gebraucht, abgeschwächte Variante mit DBRef;Multi-document ACID Transactions with snapshot isolation;ja;ja Optional;ja In-memory storage engine introduced with MongoDB version 3.2;null;Zugriffsrechte für Benutzer und Rollen;null; #1 ;null;null;null;null;Suchmaschine integrated Lucene index, currently in MongoDB Atlas only.;null;null;null;null;null;null;null
Rasdaman;Erweiterung von standard RDBMS zur effizienten Verwaltung von mehrdimensionalen arrays;Multivalue DBMS;0,46;#212;null;www.rasdaman.org;null;null;1998;rasdaman v9.6.0, Mai 2018;Open Source erweiterte kommerzielle Lizenz verfügbar;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #9 ;null;null;null;null;null;null;null;null
DensoDB;null;Document Store;0,12;#277;null;densodb.codeplex.com;null;null;2012;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #37 ;null;null;null;null;null;null;null;null;null;null;null;null
Tokyo Tyrant;null;Key-Value Store;0,44;#213;null;fallabs.com/tokyotyrant;null;null;2007;null;Open Source GPL;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #38 ;null;null;null;null;null;null;null;null;null;null;null
HyperGraphDB;null;Graph DBMS;0,20;#257;null;www.hypergraphdb.org;null;null;2007;null;Open Source L-GPL;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #22 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
HBase;Wide-Column Store basierend auf Apache Hadoop und auf Konzepten von BigTable;Wide Column Store;53,84;#21;null;hbase.apache.org;hbase.apache.org;Apache Software Foundation Apache Top-Level Projekt, ursprünglich entwickelt von Powerset;2008;2.2.0, Juni 2019;Open Source Apache Version 2;nein;;Java;Linux Unix Windows mit Cygwin;schema-free, schema definition possible;options to bring your own types, AVRO;nein;nein;nein;Java API RESTful HTTP API Thrift;C C# C++ Groovy Java PHP Python Scala;ja Coprocessors in Java;ja;Sharding;Master-Master Replikation Master-Slave Replikation;ja;Immediate Consistency or Eventual Consistency;nein;Single row ACID (across millions of columns);ja;ja;ja;null;Access Control Lists (ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC;null;null;null;null;null;null;null;null;null; #2 ;null;null;null;null
DaggerDB;Einfaches OLAP DBMS für hochperformante Abfragen in Echtzeit;Relational DBMS column oriented storage;0,00;#344;null;www.daggerdb.com;null;null;2014;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #139 ;null;null;null;null;null;null;null;null;null;null
SwayDB;An embeddable, non-blocking, type-safe key-value store for single or multiple disks and in-memory storage;Key-Value Store;0,09;#289;null;www.swaydb.io;null;Simer Plaha;2018;null;Open Source GNU Affero GPL V3.0;nein;;Scala;null;schemafrei;nein;nein;nein;nein;null;Java Kotlin Scala;nein;nein;keine;keine;nein;Immediate Consistency;nein;Atomic execution of operations;ja;ja;ja;null;nein;null;null; #47 ;null;null;null;null;null;null;null;null;null;null;null
Microsoft Access;Microsoft Access kombiniert ein Backend (JET bzw. ACE Engine) mit einem grafischen Frontend zur Datenabfrage bzw. Datenmanipulation. Das Access-Frontend wird häufig auch für Zugriff auf andere Datenquellen (DBMS, Excel, etc) verwendet.;Relational DBMS;130,07;#9;null;products.office.com/en-us/access;msdn.microsoft.com/en-us/library/office/ff604965.aspx;Microsoft;1992;1902 (16.0.11328.20222), Maerz 2019;kommerziell Gebündelt mit Microsoft Office Lizenzen;nein;;C++;Windows Kein eigentlicher Datenbank-Server, sondern Ausführung von DLL's.;ja;ja;null;ja;ja aber nicht SQL Standard konform;ADO.NET DAO ODBC OLE DB;C C# C++ Delphi Java (JDBC-ODBC) VBA Visual Basic.NET;ja ab Access 2010 mit ACE-Engine;ja ab Access 2010 mit ACE-Engine;keine;keine;nein;null;ja;ACID aber keine Files für Transaktions-Logging;ja;ja aber keine Files für Transaktions-Logging;null;null;nein einfache Benutzerverwaltung war vorhanden bis zur Version Access 2003;null;null;null; #6 ;null;null;null;null;null;null;null;null;null;null
TiDB;TiDB is an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database that supports MySQL and Spark SQL syntaxes.;Relational DBMS;1,63;#126;null;pingcap.com;pingcap.com/docs;PingCAP, Inc.;2016;3.0.0, Juni 2019;Open Source Apache 2.0;nein;;Go, Rust;Linux;ja;ja;nein;ja;ja;JDBC ODBC Proprietäres Protokoll;Ada C C# C++ D Delphi Eiffel Erlang Haskell Java JavaScript (Node.js) Objective-C OCaml Perl PHP Python Ruby Scheme Tcl;nein;nein;horizontal partitioning (by key range);Using Raft consensus algorithm to ensure data replication with strong consistency among multiple replicas.;ja with TiSpark Connector;Immediate Consistency;nein currently only supported in syntax;ACID;ja;ja;nein;null;Users with fine-grained authorization concept. No user groups or roles.;null;null;null; #63 ;null;null;Document Store;null;null;null;null;null;null;null
STSdb;Key-Value Store mit spezieller Indizierungsmethode Optimiert hinsichtlich Performanz durch spezielle Indizierungstechnologie;Key-Value Store;0,09;#291;null;stssoft.com/products/stsdb-4-0;null;STS Soft SC;2011;null;Open Source GPLv2, kommerzielle Lizenz verfügbar;nein;;C#;Windows;ja;ja Primitive Typen und benutzerdefinierte Klassen;null;nein;nein;.NET Client API;C# Java;nein;nein;keine;keine;nein;null;nein;nein;ja;ja;null;null;nein;null;null; #48 ;null;null;null;null;null;null;null;null;null;null;null
WiredTiger;Storage Engine, die von MongoDB 2014 übernommen wurde;Key-Value Store;1,05;#143;null;www.wiredtiger.com;null;null;2008;null;Open Source GPL V2 or GPL V3;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #24 ;null;null;null;null;null;null;null;null;null;null;null
Helium;Cost efficient key-value store;Key-Value Store;0,00;#344;null;www.levyx.com;null;Levyx Inc.;2013;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #63 ;null;null;null;null;null;null;null;null;null;null;null
Amazon Aurora;MySQL und PostgreSQL kompatibles RDBMS Cloud-Service von Amazon;Relational DBMS;7,75;#47;null;aws.amazon.com/rds/aurora;docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Aurora.html;Amazon;2015;null;kommerziell;ja;;null;gehostet;ja;ja;ja;ja;ja;ADO.NET JDBC ODBC;Ada C C# C++ D Delphi Eiffel Erlang Haskell Java JavaScript (Node.js) Objective-C OCaml Perl PHP Python Ruby Scheme Tcl;ja;ja;horizontale Partitionierung;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #28 ;null;null;Document Store;null;null;null;null;null;null;null
SiriDB;Open Source Time Series DBMS;Time Series DBMS;0,04;#330;null;siridb.net;siridb.net/documentation;Transceptor Technology;2017;null;Open Source MIT License;nein;;C;Linux;ja;ja Numeric data;nein;ja;nein;HTTP API;C C++ Go Python;nein;nein;Sharding;ja;nein;null;nein;nein;ja;ja;ja;null;Einfache Rechteverwaltung mit Benutzeraccounts;null;null;null;null; #28 ;null;null;null;null;null;null;null;null;null
PostgreSQL;Weit verbreitetes, allgemein einsetzbares Open Source RDBMS Entwickelt als objektorientiertes DBMS, im Laufe der Zeit um 'Standards' wie SQL erweitert;Relational DBMS mit objektorientierten Erweiterungen, z.B.: benutzerdefinierte Datentypen/Funktionen und Vererbung. Key/Value handling mit hstore Modul.;491,07;#4;null;www.postgresql.org;www.postgresql.org/docs/manuals;PostgreSQL Global Development Group www.postgresql.org/developer;1989 1989: Postgres, 1996: PostgreSQL;12.0, Oktober 2019;Open Source BSD;nein;Azure Database for PostgreSQL: A fully managed, scalable PostgreSQL relational database with high availability and security built in at no extra cost EDB Postgres Cloud Database Service: Postgres cloud database service on AWS with Superuser Access, Unlimited Extensions, Higher Scalability, More Tuning Power and Oracle Compatibility. Try free! ScaleGrid: Fully managed PostgreSQL hosting with high availability, dedicated servers, and superuser control on the #1 multi-cloud Amazon RDS alternative.;C;FreeBSD HP-UX Linux NetBSD OpenBSD OS X Solaris Unix Windows;ja;ja;ja specific XML-type available, but no XML query functionality.;ja;ja Standard mit zahlreichen Erweiterungen;ADO.NET JDBC native C library ODBC streaming API for large objects;.Net C C++ Delphi Java JDBC JavaScript (Node.js) Perl PHP Python Tcl;benutzerdefinierte Funktionen realisiert z.B. mit spezifischer Sprache PL/pgSQL, aber auch andere Sprachen möglich (Perl, Python, Tcl, etc.);ja;partitioning by range, list and (since PostgreSQL 11) by hash;Master-Slave Replikation andere Varianten durch Verwendung von 3rd party - tools;nein;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #4 ;null;null;Document Store;null;null;null;null;null;null;null
ObjectDB;null;Object oriented DBMS;0,52;#205;null;www.objectdb.com;null;null;2010;2.7.6, September 2018;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #10 ;null;null;null;null;null;null
WakandaDB;WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data;Object oriented DBMS;0,08;#297;null;wakanda.github.io;doc.wakanda.org/home2.en.html#/Datastore/Introduction.200-588937.en.html;Wakanda SAS;2012;2.1.0, Juli 2017;Open Source AGPLv3, erweiterte kommerzielle Lizenz verfügbar;nein;;C++, JavaScript;Linux OS X Windows;ja;ja;nein;null;nein;RESTful HTTP API;JavaScript;ja;ja;keine;keine;nein;Immediate Consistency;null;ACID;ja;ja;nein;null;ja;null;null;null;null;null;null;null; #15 ;null;null;null;null;null;null
Microsoft Azure Cosmos DB former name was Azure DocumentDB;Globally distributed, horizontally scalable, multi-model database service;Document Store Graph DBMS Key-Value Store Wide Column Store;31,98;#24;null;azure.microsoft.com/services/cosmos-db;docs.microsoft.com/en-us/azure/cosmos-db;Microsoft;2014;null;kommerziell;ja;;null;gehostet;schemafrei;ja JSON types;null;ja All properties auto-indexed by default;SQL-like query language;DocumentDB API Graph API (Gremlin) MongoDB API RESTful HTTP API Table API;.Net C# Java JavaScript JavaScript (Node.js) MongoDB client drivers written for various programming languages Python;JavaScript;JavaScript;Sharding Implizit im Cloud Service;ja Implizit im Cloud Service;with Hadoop integration Integration with Hadoop/HDInsight on Azure*;Bounded Staleness Consistent Prefix Eventual Consistency Immediate Consistency Consistency level configurable on request level Session Consistency;nein;Multi-item ACID transactions with snapshot isolation within a partition;ja;ja;null; #2 ;Zugriffsrechte bis auf item level einstellbar;null; #4 ; #3 ;null;null;null;null;null;null; #3 ;null;null;null;null
Bangdb;null;Key-Value Store;0,08;#298;null;bangdb.com;null;null;2012;null;Open Source BSD;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #49 ;null;null;null;null;null;null;null;null;null;null;null
JasDB;null;Document Store;0,05;#327;null;www.oberasoftware.com/jasdb;null;null;2014;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #45 ;null;null;null;null;null;null;null;null;null;null;null;null
KairosDB;Verteiltes Time Series DBMS basierend auf Cassandra;Time Series DBMS;0,54;#202;null;github.com/kairosdb/kairosdb;kairosdb.github.io;null;2013;1.2.2, November 2018;Open Source Apache 2.0;nein;;Java;Linux OS X Windows;schemafrei;ja;nein;nein;nein;Graphite protocol HTTP REST Telnet API;Java JavaScript Node.js PHP Python;nein;nein;Sharding basierend auf Cassandra;frei wählbarer Replikationsfaktor basierend auf Cassandra;nein;Eventual Consistency basierend auf Cassandra Immediate Consistency basierend auf Cassandra;nein;nein;ja;ja;nein;null;einfacher Passwort-basierter Zugriffsschutz;null;null;null;null; #11 ;null;null;null;null;null;null;null;null;null
Google BigQuery;Large scale data warehouse service with append-only tables;Relational DBMS;25,44;#27;null;cloud.google.com/bigquery;cloud.google.com/bigquery/docs;Google;2010;null;kommerziell;ja;;null;gehostet;ja;ja;nein;nein;ja;RESTful HTTP/JSON API;.Net Java JavaScript Objective-C PHP Python Ruby;benutzerdefinierte Funktionen in JavaScript;nein;keine;null;nein;Immediate Consistency;nein;nein Weil zur Abfrage von Daten gedacht;ja;ja;nein;null;Zugriffsrechte (Owner, Writer, Reader) auf Dataset-Ebene, nicht für einzelne Tabellen Google Cloud Identity & Access Management (IAM);null;null;null; #16 ;null;null;null;null;null;null;null;null;null;null
Graph Engine former name: Trinity;A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine;Graph DBMS Key-Value Store;0,56;#198;null;www.graphengine.io;www.graphengine.io/docs/manual;Microsoft;2010;null;Open Source MIT License;nein;;.NET and C;.NET;ja;ja;nein;null;nein;RESTful HTTP API;C# C++ F# Visual Basic;ja;nein;horizontale Partitionierung;null;null;null;nein;nein;ja;optional: either by committing a write-ahead log (WAL) to the local persistent storage or by dumping the memory to a persistent storage;ja; #16 ;null;null;null; #33 ;null;null;null;null;null;null;null;null;null;null;null
Hibari;null;Key-Value Store;0,37;#225;null;github.com/hibari/hibari;hibari.github.io/hibari-doc;null;2005;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #41 ;null;null;null;null;null;null;null;null;null;null;null
Starcounter;null;Object oriented DBMS;0,37;#226;null;starcounter.com;null;null;2006;2.3.2.930, April 2018;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #13 ;null;null;null;null;null;null
BigObject;Analytic DBMS für Echtzeitberechnungen und Queries;Relational DBMS Ein hierarchisches Modell (Baum) kann einer Tabelle übergestülpt werden;0,05;#321;null;www.bigobject.io;docs.bigobject.io;BigObject, Inc.;2015;null;kommerziell kostenlose community edition verfügbar;nein;;null;Linux distributed as a docker-image OS X distributed as a docker-image (boot2docker) Windows distributed as a docker-image (boot2docker);ja;ja;nein;ja;SQL-like DML and DDL statements;fluentd ODBC RESTful HTTP API;null;Lua;nein;keine;keine;nein;keine;ja automatically between fact table and dimension tables;nein;ja Read/write lock on objects (tables, trees);ja;ja;null;nein;null;null;null; #134 ;null;null;null;null;null;null;null;null;null;null
Amazon Timestream;Fast, scalable, fully managed time series database service for IoT and operational applications;Time Series DBMS;0,35;#229;null;aws.amazon.com/timestream;null;null;2018;null;kommerziell;ja;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #13 ;null;null;null;null;null;null;null;null;null
Virtuoso;Virtuoso ist ein RDBMS das auch Graphen und RDF-Strukturen unterstützt;Graph DBMS Native XML DBMS Relational DBMS RDF Store Suchmaschine;2,63;#97; #11 ;virtuoso.openlinksw.com;docs.openlinksw.com/virtuoso;OpenLink Software;1998;8.3, Mai 2019;Open Source GPLv2, erweiterte kommerzielle Lizenz verfügbar;nein;;C;AIX FreeBSD HP-UX Linux OS X Solaris Windows;ja SQL - Standard relational schema RDF - Quad (S, P, O, G) or Triple (S, P, O) XML - DTD, XML Schema DAV - freeform filesystem objects, plus User Defined Types a/k/a Dynamic Extension Type;ja;ja;ja;ja SQL-92, SQL-200x, SQL-3, SQLX;ADO.NET GeoSPARQL HTTP API JDBC Jena RDF API ODBC OLE DB RDF4J API RESTful HTTP API Sesame REST HTTP Protocol SOAP webservices SPARQL 1.1 WebDAV XPath XQuery XSLT;.Net C C# C++ Java JavaScript Perl PHP Python Ruby Visual Basic;ja Virtuoso PL;ja;ja;Chain, star, and bi-directional replication Master-Master Replikation Master-Slave Replikation;ja;Immediate Consistency;ja;ACID;ja;ja;ja; #5 ;Fine-grained Attribute-Based Access Control (ABAC) in addition to typical coarse-grained Role-Based Access Control (RBAC) according to SQL-standard. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos);null;null;null; #47 ;null;null;Document Store;null; #2 ;null;null;null; #3 ;null
Cassandra;Wide-Column Store basierend auf Ideen von BigTable und DynamoDB Optimiert für schreibende Zugriffe;Wide Column Store;123,23;#10;null;cassandra.apache.org;cassandra.apache.org/doc/latest;Apache Software Foundation Apache Top Level Projekt, ursprünglich von Facebook entwickelt;2008;3.11.5, Oktober 2019;Open Source Apache Version 2;nein;;Java;BSD Linux OS X Windows;schemafrei;ja;nein;eingeschränkt Nur Gleichheitsabfragen, nicht immer die performanteste Lösung;SQL-like SELECT, DML and DDL statements (CQL);Proprietäres Protokoll CQL (Cassandra Query Language, eine SQL-ähnliche Abfragesprache) Thrift;C# C++ Clojure Erlang Go Haskell Java JavaScript Node.js Perl PHP Python Ruby Scala;nein;ja;Sharding kein "single point of failure";frei wählbarer Replikationsfaktor Abbildung von geographischer Verteilung der Server möglich;ja;Eventual Consistency Immediate Consistency bei jedem Schreibvorgang individuell einstellbar;nein;nein Atomizität und Isolation innerhalb einzelner Operationen werden unterstützt;ja;ja;nein;null;Zugriffsrechte für Benutzer auf einzelne Objekte definierbar;null;null;null;null;null;null;null;null;null; #1 ;null;null;null;null
Tibero;A secure RDBMS, designed for easy portability from Oracle;Relational DBMS;1,66;#125;null;www.tmaxsoft.com/products/tibero;technet.tmaxsoft.com/upload/download/online/tibero/pver-20150504-000002/index.html;TmaxSoft;2003;6, April 2015;kommerziell;nein;;C and Assembler;AIX HP-UX Linux Solaris Windows;ja;ja;ja;ja;ja;JDBC ODBC ODP.NET Oracle Call Interface (OCI) Tibero CLI;C C# C++ Cobol Java Objective-C Perl PHP Python Ruby Visual Basic;Persistent Stored Procedure (PSM);ja;horizontale Partitionierung by range, hash, list or composite;Master-Master Replikation Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;nein planned for next version;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard (SQL 92, SQL 99);null;null;null; #62 ;null;null;null;null;null;null;null;null;null;null
dBASE;dBase war eine der ersten Datenbanken mit einer eigenen Entwicklungsumgebung auf PC's. Die letzte Version dbase V wird als dBase classic weiter vertrieben und benötigt eine DOS-Emulation. Das aktuelle Produkt ist aber dBase Plus.;Relational DBMS;14,66;#37;null;www.dbase.com;www.dbase.com/support/knowledgebase;Asthon Tate;1979;dBASE PLUS 11, Dezember 2016;kommerziell;nein;;null;DOS dBase Classic Windows dBase Pro;ja;ja;null;ja;nein;keine Mit der Entwicklungsumgebung kann aber auf andere DBMS oder ODBC-Datenquellen zugegriffen werden;dBase eigene IDE;nein Die IDE kann stored procedures in anderen Datenquellen aufrufen.;nein;keine;keine;nein;null;ja;nein Nicht für dBase interne Daten, wohl aber Unterstützung durch die IDE beim Zugriff auf externe DBMS;ja;ja;null;null;Zugriffsrechte für Benutzer und Rollen;null;null;null; #23 ;null;null;null;null;null;null;null;null;null;null
DBISAM;RDBMS für Delphi und C++Builder Enwickler;Relational DBMS;0,79;#167;null;www.elevatesoft.com/products?category=dbisam;null;Elevate Software, Inc.;1998;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #82 ;null;null;null;null;null;null;null;null;null;null
FlockDB;null;Graph DBMS;0,27;#242;null;github.com/twitter-archive/flockdb;null;Twitter;2010;1.8.5, Februar 2012;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #19 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Raima Database Manager formerly named db_Vista;RDBMS with a small footprint, either embedded into an application or used as a database server;Relational DBMS;0,32;#234;null;raima.com;docs.raima.com;Raima Inc.;1984;14.1;kommerziell;nein;;C;Android HP-UX Integrity RTOS iOS Linux OS X QNX Solaris VxWorks Windows;ja;ja;nein Exporting/Importing of XML structures possible;ja;ja;ADO.NET JDBC ODBC;.Net C C++ Objective-C PL/SQL;ja based on the ANSI/ISO SQL Persistent Stored Modules (PSM) specification;ja;horizontale Partitionierung;Master-Slave Replikation;nein;Immediate Consistency or Eventual Consistency depending on configuration;ja;ACID;yes, multi-version concurrency control (MVCC);ja;ja;null;nein;null;null;null; #109 ;null;null;null;null;null;null;null;null;null;null
Mulgara;null;RDF Store;0,14;#272;null;www.mulgara.org;null;null;2006;2.1.13, Jaenner 2012;Open Source Apache Version 2;nein;;Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #15 ;null;null;null;null;null
Datameer;null;Document Store;1,26;#136;null;www.datameer.com;null;null;2009;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #20 ;null;null;null;null;null;null;null;null;null;null;null;null
FoundationDB;Sortierter Key-Value Store. Core features werden durch layers ergänzt.;Document Store Unterstützt durch speziellen Layer Key-Value Store Relational DBMS Unterstützt durch speziellen SQL-Layer;0,86;#165;null;www.foundationdb.org;apple.github.io/foundationdb;FoundationDB;2013;6.1.11, Juli 2019;Open Source Apache 2.0;nein;;C++;Linux OS X Windows;schemafrei Einige Layers unterstützen Schemata;nein Einige Layers unterstützen Typen;null;nein;nur in speziellem SQL-Layer;null;.Net C C++ Go Java JavaScript Node.js PHP Python Ruby Swift;nur im SQL-layer;nein;Sharding;ja;nein;Linearizable consistency;nur im SQL-layer;ACID;ja;ja;null;null;nein;Created as commercial project in 2013, FoundationDB has been acquired by Apple in March 2015 and was withdrawn from the market. As a consequence, the product was removed from the DB-Engines ranking. In April 2018, Apple open-sourced FoundationDB and it therefore reappears in the ranking.; #24 ; #29 ; #80 ;null;null;null;null;null;null;null;null;null;null
OpenQM wird auch QM genannt;QpenQM is a high-performance, self-tuning, multi-value DBMS;Multivalue DBMS;0,26;#245;null;www.openqm.com;www.openqm-zumasys.com/support/documentation;Martin Phillips;1993;3.4-12;Open Source GPLv2, erweiterte kommerzielle Lizenz verfügbar;nein;;null;AIX FreeBSD Linux macOS Raspberry Pi Solaris Windows;ja with some exceptions;null;ja;ja;nein;null;.Net Basic C Java Objective C PHP Python;ja;ja;ja;ja;nein;Immediate Consistency;nein;ACID;ja;ja;null;null;Access rights can be defined down to the item level;null;null;null;null;null; #10 ;null;null;null;null;null;null;null;null
HAWQ;HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem;Relational DBMS;0,89;#161;null;hawq.incubator.apache.org;hawq.docs.pivotal.io/index.html;Pivotal Software, Apache it was open sourced by Pivotal Software,Inc;2012;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #78 ;null;null;null;null;null;null;null;null;null;null
Kyoto Tycoon;null;Key-Value Store;0,05;#323;null;fallabs.com/kyototycoon;null;null;2009;null;Open Source GPL;nein;;C++;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #57 ;null;null;null;null;null;null;null;null;null;null;null
